user_id,record_date,record_year,record_month,record_month_name,age,age_group,gender,education_level,employment_status,job_title,region,monthly_income_usd,annual_income_usd,monthly_expenses_usd,annual_expenses_usd,monthly_surplus_usd,expense_to_income_ratio,savings_usd,savings_rate,savings_to_income_ratio,emergency_fund_months,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,emi_to_income_ratio,loan_interest_rate_pct,debt_to_income_ratio,credit_score,income_group,financial_health_category
U00001,2024-01-09,2024,1,January,56,55-64,Female,High School,Self-employed,Salesperson,Other,3531.69,42380.28,1182.59,14191.08,2349.1,0.33,367655.03,0.67,8.68,310.89,No,None,0.0,0,0.0,0.0,0.0,0.0,430,Lower-Middle,Healthy
U00002,2022-02-13,2022,2,February,19,18-24,Female,PhD,Employed,Salesperson,North America,3531.73,42380.76,2367.99,28415.88,-3789.76,0.67,260869.1,-1.07,6.16,110.16,Yes,Education,146323.34,36,4953.5,1.4,13.33,1.4,543,Lower-Middle,Needs Attention
U00003,2022-05-12,2022,5,May,20,18-24,Female,Master,Employed,Teacher,Africa,2799.49,33593.88,1003.91,12046.92,1795.58,0.36,230921.21,0.64,6.87,230.02,No,None,0.0,0,0.0,0.0,0.0,0.0,754,Lower-Middle,Healthy
U00004,2023-10-02,2023,10,October,25,25-34,Male,PhD,Employed,Manager,Europe,5894.88,70738.56,4440.12,53281.44,-3471.81,0.75,304815.51,-0.59,4.31,68.65,Yes,Business,93242.37,24,4926.57,0.84,23.93,0.84,461,Middle,Needs Attention
U00005,2021-08-07,2021,8,August,53,45-54,Female,PhD,Employed,Student,Africa,5128.93,61547.16,4137.61,49651.32,991.32,0.81,461509.48,0.19,7.5,111.54,No,None,0.0,0,0.0,0.0,0.0,0.0,516,Middle,Needs Attention
U00006,2025-02-12,2025,2,February,62,55-64,Male,Master,Employed,Student,North America,4051.0,48612.0,2244.42,26933.04,-36413.23,0.55,194901.41,-8.99,4.01,86.84,Yes,Car,407915.25,12,38219.81,9.43,22.21,9.43,718,Middle,Needs Attention
U00007,2024-06-01,2024,6,June,22,18-24,Female,Master,Student,Accountant,Asia,983.69,11804.28,332.62,3991.44,-6122.22,0.34,37522.56,-6.22,3.18,112.81,Yes,Car,296057.6,180,6773.29,6.89,26.95,6.89,761,Low,Needs Attention
U00008,2024-03-17,2024,3,March,18,18-24,Female,Bachelor,Employed,Accountant,Africa,6199.29,74391.48,4503.15,54037.8,1696.14,0.73,89107.54,0.27,1.2,19.79,No,None,0.0,0,0.0,0.0,0.0,0.0,540,Upper-Middle,Needs Attention
U00009,2023-05-02,2023,5,May,49,45-54,Female,High School,Self-employed,Doctor,Africa,4271.51,51258.12,3062.12,36745.44,1209.39,0.72,451923.96,0.28,8.82,147.59,No,None,0.0,0,0.0,0.0,0.0,0.0,327,Middle,Needs Attention
U00010,2024-11-23,2024,11,November,61,55-64,Male,Master,Employed,Student,Asia,5216.18,62594.16,4369.36,52432.32,-5935.55,0.84,203320.5,-1.14,3.25,46.53,Yes,Education,324197.37,360,6782.37,1.3,25.09,1.3,558,Middle,Needs Attention
U00011,2022-09-02,2022,9,September,26,25-34,Female,Master,Employed,Manager,Other,3677.43,44129.16,2247.92,26975.04,-388.5,0.61,311546.91,-0.11,7.06,138.59,Yes,Education,127703.79,240,1818.01,0.49,16.43,0.49,412,Lower-Middle,Needs Attention
U00012,2025-02-21,2025,2,February,66,65+,Other,Bachelor,Student,Unemployed,Other,4808.1,57697.2,1537.78,18453.36,3270.32,0.32,202875.2,0.68,3.52,131.93,No,None,0.0,0,0.0,0.0,0.0,0.0,429,Middle,Healthy
U00013,2024-09-07,2024,9,September,61,55-64,Male,Bachelor,Employed,Student,Asia,2449.33,29391.96,1804.98,21659.76,644.35,0.74,109956.88,0.26,3.74,60.92,No,None,0.0,0,0.0,0.0,0.0,0.0,497,Lower-Middle,Needs Attention
U00014,2022-01-15,2022,1,January,65,65+,Female,High School,Employed,Driver,North America,5546.28,66555.36,3630.24,43562.88,-8907.27,0.65,453101.38,-1.61,6.81,124.81,Yes,Car,404941.02,60,10823.31,1.95,20.42,1.95,788,Middle,Needs Attention
U00015,2024-06-04,2024,6,June,57,55-64,Male,PhD,Employed,Accountant,North America,3286.51,39438.12,2287.38,27448.56,999.13,0.7,323017.91,0.3,8.19,141.22,No,None,0.0,0,0.0,0.0,0.0,0.0,301,Lower-Middle,Moderate
U00016,2021-11-03,2021,11,November,65,65+,Other,Bachelor,Unemployed,Student,Africa,5112.24,61346.88,2573.59,30883.08,2538.65,0.5,218221.57,0.5,3.56,84.79,No,None,0.0,0,0.0,0.0,0.0,0.0,430,Middle,Moderate
U00017,2023-11-21,2023,11,November,41,35-44,Male,Master,Unemployed,Engineer,Other,4586.14,55033.68,1389.77,16677.24,3196.37,0.3,93116.97,0.7,1.69,67.0,No,None,0.0,0,0.0,0.0,0.0,0.0,462,Middle,Healthy
U00018,2021-09-18,2021,9,September,58,55-64,Male,High School,Employed,Doctor,Africa,2571.3,30855.6,1336.77,16041.24,1234.53,0.52,230407.66,0.48,7.47,172.36,No,None,0.0,0,0.0,0.0,0.0,0.0,332,Lower-Middle,Moderate
U00019,2022-02-14,2022,2,February,68,65+,Female,Bachelor,Employed,Unemployed,North America,5757.35,69088.2,3907.42,46889.04,1849.93,0.68,550538.43,0.32,7.97,140.9,No,None,0.0,0,0.0,0.0,0.0,0.0,583,Middle,Moderate
U00020,2022-07-22,2022,7,July,22,18-24,Male,Bachelor,Employed,Engineer,Other,3520.81,42249.72,1148.36,13780.32,2372.45,0.33,420217.83,0.67,9.95,365.93,No,None,0.0,0,0.0,0.0,0.0,0.0,345,Lower-Middle,Healthy
U00021,2023-03-24,2023,3,March,23,18-24,Male,High School,Student,Engineer,Europe,8237.77,98853.24,7316.78,87801.36,-12337.11,0.89,83622.72,-1.5,0.85,11.43,Yes,Business,425717.2,36,13258.1,1.61,7.58,1.61,622,Upper-Middle,Needs Attention
U00022,2023-03-14,2023,3,March,49,45-54,Female,Bachelor,Employed,Teacher,Other,7093.07,85116.84,3500.65,42007.8,1305.92,0.49,723648.99,0.18,8.5,206.72,Yes,Home,180386.08,240,2286.5,0.32,14.33,0.32,707,Upper-Middle,Healthy
U00023,2023-11-25,2023,11,November,24,18-24,Female,Master,Self-employed,Driver,North America,1694.87,20338.44,604.03,7248.36,-225.1,0.36,118470.87,-0.13,5.82,196.13,Yes,Education,78365.77,180,1315.94,0.78,18.95,0.78,641,Low,Needs Attention
U00024,2022-05-22,2022,5,May,69,65+,Male,Bachelor,Employed,Salesperson,Asia,998.46,11981.52,612.4,7348.8,-1355.43,0.61,92532.51,-1.36,7.72,151.1,Yes,Education,229175.32,180,1741.49,1.74,4.4,1.74,649,Low,Needs Attention
U00025,2021-12-11,2021,12,December,57,55-64,Female,Other,Employed,Driver,Europe,2676.43,32117.16,1507.85,18094.2,423.31,0.56,28157.7,0.16,0.88,18.67,Yes,Education,41355.61,360,745.27,0.28,21.59,0.28,357,Lower-Middle,Moderate
U00026,2022-05-06,2022,5,May,18,18-24,Male,Bachelor,Employed,Accountant,Other,5704.87,68458.44,3971.27,47655.24,1733.6,0.7,196567.84,0.3,2.87,49.5,No,None,0.0,0,0.0,0.0,0.0,0.0,746,Middle,Moderate
U00027,2023-01-20,2023,1,January,39,35-44,Female,High School,Employed,Driver,Other,3525.22,42302.64,1264.5,15174.0,2260.72,0.36,210117.09,0.64,4.97,166.17,No,None,0.0,0,0.0,0.0,0.0,0.0,588,Lower-Middle,Healthy
U00028,2024-06-14,2024,6,June,40,35-44,Male,PhD,Unemployed,Doctor,Other,7744.01,92928.12,4063.81,48765.72,3680.2,0.52,585076.67,0.48,6.3,143.97,No,None,0.0,0,0.0,0.0,0.0,0.0,624,Upper-Middle,Moderate
U00029,2022-02-01,2022,2,February,21,18-24,Female,PhD,Student,Doctor,Asia,500.0,6000.0,342.99,4115.88,157.01,0.69,27820.22,0.31,4.64,81.11,No,None,0.0,0,0.0,0.0,0.0,0.0,567,Low,Moderate
U00030,2022-11-29,2022,11,November,18,18-24,Other,PhD,Employed,Teacher,Europe,6561.08,78732.96,2121.71,25460.52,-2954.57,0.32,489775.18,-0.45,6.22,230.84,Yes,Home,160168.84,24,7393.94,1.13,10.04,1.13,495,Upper-Middle,Needs Attention
U00031,2023-01-16,2023,1,January,67,65+,Female,Master,Self-employed,Salesperson,Africa,4101.49,49217.88,2272.56,27270.72,1828.93,0.55,281937.28,0.45,5.73,124.06,No,None,0.0,0,0.0,0.0,0.0,0.0,398,Middle,Moderate
U00032,2024-10-14,2024,10,October,35,35-44,Male,Bachelor,Unemployed,Salesperson,North America,4989.2,59870.4,2211.0,26532.0,2778.2,0.44,408942.57,0.56,6.83,184.96,No,None,0.0,0,0.0,0.0,0.0,0.0,572,Middle,Healthy
U00033,2022-09-30,2022,9,September,37,35-44,Female,Bachelor,Unemployed,Engineer,Other,3177.42,38129.04,2777.32,33327.84,400.1,0.87,259278.31,0.13,6.8,93.36,No,None,0.0,0,0.0,0.0,0.0,0.0,805,Lower-Middle,Needs Attention
U00034,2024-04-23,2024,4,April,22,18-24,Male,Bachelor,Self-employed,Doctor,Asia,5968.05,71616.6,5178.58,62142.96,-5397.58,0.87,561103.95,-0.9,7.83,108.35,Yes,Education,247715.73,240,6187.05,1.04,29.89,1.04,432,Middle,Needs Attention
U00035,2023-07-08,2023,7,July,40,35-44,Female,Master,Student,Accountant,North America,5227.68,62732.16,1885.49,22625.88,3342.19,0.36,58507.61,0.64,0.93,31.03,No,None,0.0,0,0.0,0.0,0.0,0.0,469,Middle,Healthy
U00036,2025-04-13,2025,4,April,67,65+,Female,High School,Employed,Unemployed,Africa,6715.76,80589.12,5990.35,71884.2,-2222.99,0.89,306664.24,-0.33,3.81,51.19,Yes,Business,119105.91,240,2948.4,0.44,29.62,0.44,431,Upper-Middle,Needs Attention
